"id","category","file","max_seconds","en","ml","notes"
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","ശ്രദ്ധിക്കുക. ഇത് യൂപീഈഎസ് അടിയന്തര മുന്നറിയിപ്പ് സേവനമാണ്. അടിയന്തരാവസ്ഥ ഇപ്പോൾ അവസാനിച്ചു. സാധാരണ പ്രവർത്തനങ്ങൾ പുനരാരംഭിക്കുന്നത് സുരക്ഷിതമാണ്. നിങ്ങളുടെ സഹകരണത്തിന് നന്ദി.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","ശ്രദ്ധിക്കുക. ഇത് യൂപീഈഎസ് അടിയന്തര മുന്നറിയിപ്പ് സേവനമാണ്. ഇപ്പോൾ നിങ്ങൾക്ക് നിശ്ചയിച്ച സമ്മേളന സ്ഥലത്തേക്ക് പോകുക. ശാന്തമായി നീങ്ങുക, കഴിയുന്നിടത്ത് മറ്റുള്ളവരെ സഹായിക്കുക, എണ്ണിത്തിട്ടപ്പെടുത്തുന്നതുവരെ കാത്തിരിക്കുക. തുടർ നിർദേശങ്ങൾക്കായി കാത്തിരിക്കുക.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","ശ്രദ്ധിക്കുക. ഇത് യൂപീഈഎസ് അടിയന്തര മുന്നറിയിപ്പ് സേവനത്തിൽ നിന്നുള്ള ഒരു അറിയിപ്പാണ്. ദയവായി ശ്രദ്ധയോടെ കേൾക്കുക, തുടർന്നു വരുന്ന നിർദേശങ്ങൾ പിന്തുടരുക.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","ഇത് ഒരു യൂപീഈഎസ് അടിയന്തര സംവിധാന ഡ്രിൽ ആണ്. ഇത് ഒരു പരീക്ഷണം മാത്രമാണ്. യഥാർത്ഥ അടിയന്തരാവസ്ഥ ഒന്നും നടക്കുന്നില്ല, ഒരു പ്രതികരണവും അയയ്ക്കില്ല. നന്ദി.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","ഇപ്പോൾ നിങ്ങളുടെ കോൾ എടുക്കാൻ ഒരു റെസ്പോണ്ടറും ലഭ്യമല്ല. ടോണിനു ശേഷം, ദയവായി നിങ്ങളുടെ പേര്, നിങ്ങൾ എവിടെയാണ്, എന്താണ് സംഭവിക്കുന്നത് എന്നിവ പറയുക. സുരക്ഷിതരായിരിക്കുക. കഴിയുന്നത്ര വേഗം സഹായം നിങ്ങളെ തിരികെ വിളിക്കും.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","ക്ഷമിക്കണം. ഈ സൗകര്യം ഉപയോഗിക്കാൻ നിങ്ങൾക്ക് അനുമതിയില്ല.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","ദയവായി ലൈനിൽ തുടരുക. ഞങ്ങൾ ഇപ്പോൾ നിങ്ങളെ ഒരു റെസ്പോണ്ടറുമായി ബന്ധിപ്പിക്കുന്നു.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","നിങ്ങൾ ഇപ്പോൾ താൽക്കാലികമായി നിർത്തിവച്ചിരിക്കുന്നു, നിങ്ങൾക്ക് അടിയന്തര കോളുകൾ ലഭിക്കില്ല. പുനരാരംഭിക്കാൻ സ്റ്റാർ നാല് ആറ് ഡയൽ ചെയ്യുക.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","നിങ്ങൾ ഇപ്പോൾ ലഭ്യമാണ്, നിങ്ങൾക്ക് വീണ്ടും അടിയന്തര കോളുകൾ ലഭിക്കും.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","ഭാഷ മാറ്റാൻ, ഇംഗ്ലീഷിന് 1 അമർത്തുക, അല്ലെങ്കിൽ ഹിന്ദിക്ക് 2 അമർത്തുക.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
